Zip_Code,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
01351,MA,134071,148017,165315,171185,191542,228767,232222,232475,232377,222632,221273,199305,189243,198079,203584,212967,218449,237007,244191,252883,273032,308016,340196,364649,385974,382970
01354,MA,124583,137100,154295,160644,179769,200255,215808,216435,212552,218524,211072,187692,184762,192560,200607,210595,209462,220240,229740,232554,260074,291625,320820,341761,359160,353810
01355,MA,133797,150410,171260,178946,201782,233776,243731,245031,242113,235680,234383,208440,201702,195782,197462,202385,205408,215652,228085,238160,265076,300534,324667,351277,388920,382581
01360,MA,130338,146891,164060,169447,190249,207853,226530,226679,225891,218881,218248,192285,189920,191793,198322,204386,208139,215624,226267,233221,259774,295082,320021,340477,363985,360812
01364,MA,115551,127357,145537,154059,171214,157923,158479,158367,158498,152305,149659,132722,131401,132160,135061,141245,145233,157858,170781,184352,210989,246411,266147,287855,312121,312595
01366,MA,181955,205860,208533,243910,262802,280872,275379,273721,247966,230048,239204,220883,204904,222995,239728,252119,270709,279311,292090,297196,329476,354126,399292,436929,451261,458511
01367,MA,116869,128515,141927,156156,170726,210892,232450,230808,228932,212798,210391,185048,193242,194907,197864,204894,211981,223349,233492,237743,268014,287651,307592,324474,346746,331413
01368,MA,146716,168279,183906,219908,237269,253740,246123,247211,228154,200345,181603,161818,157006,167957,180035,177667,192124,207689,218275,232987,260898,293413,322444,349958,389397,382877
01370,MA,148791,162758,183890,189487,209419,237406,253134,255108,253796,242376,241114,214089,214133,220640,221310,230364,232309,248298,254586,268775,296469,333287,361743,379840,405904,403318
01373,MA,181379,199316,222579,229806,257826,298122,307020,306476,304798,293070,291028,260488,250020,261744,267330,271219,273773,287833,297026,302747,327373,365823,394269,425170,450234,451231
01375,MA,177903,193816,217587,227044,256234,309340,311063,309397,306583,293815,286539,255571,254320,261441,263982,267469,276113,290507,300117,311609,339324,385831,410157,443821,477391,477441
01376,MA,111495,121443,138339,145542,163670,187402,197181,196980,197228,188991,186445,166017,161742,166325,168947,175731,178741,189675,195179,202757,221915,248881,276997,295340,317464,313527
01378,MA,117749,128460,149205,154835,174722,202806,211756,211257,205305,190256,185451,163339,164570,163758,173047,178314,181632,189794,200332,200678,228107,254542,284624,307077,333008,335532
01379,MA,,,,,,,,,,164678,169439,151366,149196,154223,160603,164667,167902,180027,184326,188433,212300,231914,258589,277935,302865,297072
01420,MA,134782,159045,178358,200840,219804,235002,230130,213078,189058,175897,166820,152034,143494,154827,159395,165773,181372,200032,217084,233404,265800,305603,333025,371425,397056,399448
01430,MA,148548,174877,195819,221718,241031,256498,248784,236760,218391,205170,199490,200002,186816,194139,205369,214568,227273,243441,260181,272425,318439,349998,382368,412912,440278,441169
01431,MA,170496,194878,219038,250734,266165,273326,273173,263734,243325,238422,218630,200394,201050,215520,222901,240472,257738,274504,294777,306704,341510,378033,409197,435865,461515,463890
01432,MA,218828,251082,280054,294302,329235,347403,326653,319753,295927,282786,280793,257982,258203,273109,286613,308339,330968,349331,367750,376859,414348,464226,502066,544487,578613,586763
01434,MA,,,,,,,,,,,,,,,,,,,,,433579,511788,600173,665093,697600,699556
01436,MA,144270,173188,193170,218558,242050,260254,257061,239417,216720,200712,196377,173122,169043,175371,187618,192436,205267,223021,236380,240324,268156,302339,335739,362079,382971,385282
01440,MA,136292,162934,180738,203145,222336,243512,236588,219057,194530,174703,171622,153955,140338,149722,158083,165399,178398,192987,204625,217032,249353,286365,314537,345932,369222,372900
01450,MA,301670,339173,366977,391180,424497,441608,419660,409521,392881,392940,389599,374306,377599,395248,409373,433039,440302,466971,484402,499674,547420,621110,674650,730640,767122,772192
01451,MA,366332,421621,457078,497671,511981,526396,512922,469708,416086,413634,434666,430490,433441,433150,469332,520213,548227,572113,613337,606179,648574,761219,827400,916946,946465,940767
